Company,Brief Description,Protein category,B2B/B2C,Company focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,HQ Country,HQ State (U.S. only),HQ City,Website,Year founded,Founders
Drupe Foods,"We at Drupe Foods, a self-funded registered #homegrown startup under innovation manufactures the finest Almond Milk under the brand name Drupe! Our expertise lies in making our product preservative-free.

We use 200ml biodegradable bottles with zero migration, easy to grab and go, no sharing size.  Our product can be stored at ambient temperature for 9 months. Its innovative double sealing keeps the almond milk fresh and tastes so good with more than 20% almonds in a single bottle it is truly your power dose!

At Drupe, we are committed to educating people about the many benefits of a vegan lifestyle. Healthy milk substitutes, especially almond milk which is not fortified, and 100% natural nut milk has more calcium than regular milk and is hormone FREE. As most Almond Milk brands get their texture and body by using thickening agents and additives adding to their synthetic taste. The richness of Drupe Almond Milk comes simply from almonds and a handful of Dates!
",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,Almond,Asia Pacific,India ,,Noida,https://drupepower.com/,2016,
DRYK,Danish producer of oat and pea milk that replicates the properties known from animal milk.,Plant-based,"B2C,B2B",Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Oat,Pea",Europe,Denmark,,Køge,https://dryk.dk/,2018,Christian Christensen
DSM-Firmenich,"Swiss-Dutch producer of fragrance and flavor ingredients for multiple industries, including nutrition.",Plant-based,B2B,"Ingredients and inputs,Meat,Dairy,Seafood",Diversified,Ingredient optimization,Ingredients,,,"Europe,Africa/Middle East,Asia Pacific,Australia/New Zealand,Latin America,United States and Canada",Switzerland,,Geneva,https://www.firmenich.com/,1895,
"Ducoco
  Alimentos","Brazil-based producer of a variety of coconut products, including coconut milk and other coconut beverages.",Plant-based,B2C,Dairy,Diversified,End product formulation and manufacturing,"Milk,Other dairy",,Coconut,Latin America,Brazil,,Linhares,http://www.ducoco.com.br/en/,1979,
DUG,"UK-based producer of potato milk, in original, barista, and unsweetened options. ",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Potato,Pea",Europe,Sweden,,Lund,https://dugdrinks.com/,2018,Eva Tornberg
Duoning Biotech,"Chinese developer of serum-free medium, animal cell culture processes, supporting disposable products, and bioreactors.",Cultivated,B2B,Ingredients and inputs,Diversified,"Cell culture media,Bioprocess design",,,,Asia Pacific,Mainland China,,Shanghai,https://www.duoningbio.com/en/,2005,Meng Wang
Duplaco,Dutch producer of heterotrophically cultured Chlorella microalgae.,"Fermentation-derived,Biomass fermentation",B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,"Algae,Microalgae",Europe,Netherlands,,Oldenzaal,https://www.aliga.dk/duplaco,2012,Marcel Oogink
Dupont Nutrition & Health,Produces products with enhanced bio protection and improved nutrition. ,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,,United States and Canada,United States,Kansas,New Century,https://www.dupontnutritionandbiosciences.com,1802,
Dutch Organic International Trade,Imports and exports organic food ingredients and consumer goods.,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,"Fava bean,Pea,Rice,Soy,Cashew,Almond,Hazelnut,Flaxseed,Hemp",Europe,Netherlands,,Barnevald,https://www.organic.nl,1991,
Dutch Structuring Technologies,Dutch company developing Continuous High Shear (CHS) process for producing whole cuts of plant-based meat or fish.,Plant-based,B2B,"Food processing infrastructure and equipment,Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,"Chicken,Beef/veal,Pork,Other fish",,Europe,Netherlands,,Maatricht,https://www.dstfood.com/,2021,
Dutch Weed Burger,"Producers of wide range of seaweed-based products like burgers, seaweed balls, sea-nuggets, and sea-wharma.",Plant-based,B2C,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Other fish","Seaweed,Soy,Wheat,Rice,Fava bean,Mushrooms,Lupine",Europe,Netherlands,,Amsterdam,http://dutchweedburger.com/en/ ,2012,Mark Kulsdom and Lisette Kreischer
Dynacyte Biosciences,"Singapore-based creator of a small bioreactor, the Eggsbee, for home and research applications of cell growth. ","Cultivated,Fermentation-derived",B2B,Bioprocessing infrastructure and equipment,Specialized (focused on alternative proteins),Bioprocess design,,,,Asia Pacific,Singapore,,Singapore,https://www.dynacyte.com/,2021,Alan She
Eat Curious,UK-based company providing healthy and sustainable plant-based meat alternatives for the foodservice sector.,Plant-based,B2B,"Ingredients and inputs,Meat",Specialized (focused on alternative proteins),"End product formulation and manufacturing,Ingredient optimization","Ingredients,Ground meat/seafood,Other meat/seafood",Chicken,"Pea,Fava bean",Europe,United Kingdom,,Northampton,www.eat-curious.com,2020,Resh Diu and Preyesh Patel
"Eat Just, Inc. ","U.S.-based company with a plant-based egg brand called JUST Egg and a cultivated meat subsidiary called GOOD Meat, with plant-based products including liquid egg, folded egg, and sous vide egg bites as well as cultivated meat (chicken).  ","Plant-based,Cultivated",B2C,"Meat,Eggs",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Eggs",Chicken,Mung bean,"United States and Canada,Asia Pacific",United States,California,San Francisco,"https://www.ju.st 
https://goodmeat.co",2011,Josh Tetrick and Josh Balk
Eat Up!,"Canada-based brand that produces plant-based products, including a line of plant-based meat and oat-based cheese ",Plant-based,B2C,"Dairy,Meat",Diversified,End product formulation and manufacturing,"Ground meat/seafood,Cheese",Beef/veal,"Oat,Chickpea,Fava bean,Lentils,Pea",United States and Canada,Canada,,,https://abovefood.com/eat_up/,2020,
Eat Well Group,North american based company that is one of the largest processors of plant based ingredients in Canada along with unique Food Technology in the plant based space.,Plant-based,B2B,Ingredients and inputs,Diversified,"End product formulation and manufacturing,Ingredient optimization",,,"Pea,Lentils",United States and Canada,Canada,,Vancouver,www.eatwellgroup.com,2012,"MarK Coles, Marc Aneed"
EATfunctional,"Hungarian producer of sprouted soybean, a high-quality complete protein, as a raw material for the food industry.",Plant-based,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Ingredient optimization,Ingredients,,Soy,Europe,Hungary,,Budapest,https://eatfunctional.eu/,2012,
EatKinda,New Zealand-based producer of non-dairy ice cream made from cauliflower.,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,Cauliflower,Australia/New Zealand,New Zealand,,New Plymouth,https://www.eatkinda.com/,2021,"Jenni Matheson, Mrinali Kumar"
EatVappy,Turkey-based company that produces plant-based meat and created world's first vegan sucuk.,Plant-based,B2B,Meat,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Ingredient optimization","Whole muscle meat/seafood,Ground meat/seafood,Other meat/seafood","Beef/veal,Chicken,Other fish,Other",Wheat,"Europe,Africa/Middle East",Turkey,,Istanbul,https://eatvappy.com.tr,2017,Cihan Baltepe
Eclipse Foods,US-based maker of plant-based ice cream.,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,,United States and Canada,United States,California,Berkeley,https://www.eclipsefoods.com/,2019,"Aylon Steinhart, Thomas Bowman"
ECO Power,ECO Power makes plant-based meat ,Plant-based,B2B,Meat,Specialized (focused on alternative proteins),"Ingredient optimization,End product formulation and manufacturing","Ground meat/seafood,Other meat/seafood","Beef/veal,Chicken",Soy,Africa/Middle East,Lebanon,,Batroun,,2007,Elias Aoun and Graziella Kassab
econutri,Austria-based using biomass fermentation to transform CO2 into protein.,Biomass fermentation,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Ingredient optimization,Ingredients,,CO2,Europe,Austria,,Graz,https://econutri.com/,2021,"Prof. Dr. Helmut Schwab, Verena Schwab, and Dr. Stefan Zopf"
ECOPACIFIC,"Ecuador-based company that produces a variety of plant-based products, including patties, almond milk, cheese, butter, and ice cream ",Plant-based,B2C,"Meat,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Cheese,Other dairy,Ground meat/seafood","Beef/veal,Other fish",Almond,Latin America,Ecuador,,Rumiñahui,https://ecopacific.com.ec/ecolove/,2008,
Ecotone,"Maker of dairy alternative and vegetarian meals with several brands, all of which use a variety of diverse ingredients",Plant-based,B2C,"Meat,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,,,Europe,France,,Lyon,https://www.ecotone.bio/,1765,
Eden Bio,Biotech start up using machine learning to optimise precision fermentation yields. ,Precision fermentation,B2C,Bioprocessing infrastructure and equipment,Diversified,Host strain development,,,,Europe,United Kingdom,,London,https://eden.bio/#solutions,2021,Dr Chris Reynolds
Eden Brew,Australia-based  startup producing milk proteins via precision fermentation. ,Precision fermentation,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Cheese,Other dairy",,,Australia/New Zealand,Australia,,Sydney,https://www.edenbrew.com.au/,2021,Jim Fader
Eden Foods,"Produces natural packaged foods, including Edensoy organic soymilk. Eden Foods offers more than 300 organic food items. It's North America's oldest natural and organic food company and the largest independent manufacturer of dry grocery organic foods. Family-owned, Eden Foods began in 1968 as a natural foods cooperative.",Plant-based,B2C,Dairy,Diversified,End product formulation and manufacturing,Milk,,Soy,United States and Canada,United States,Michigan,Clinton,https://store.edenfoods.com/,1968,Michael Potter
Edenesque,Plant-based milk made from oats and pistachios.,Plant-based,B2B,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Oat,Pistachio",United States and Canada,United States,New York ,New York City,https://edenesque.com/,2014,Leslie Woodward
Edonia,"French startup making protein ingredients for plant-based foods, using microalgae.",Biomass fermentation,B2C,Ingredients and inputs,Specialized (focused on alternative proteins),Ingredient optimization,Ingredients,Beef/veal,Microalgae,Europe,France,,"Palaiseau, Île-de-France",https://www.edonia.com/,2023,
EFISHient Protein,EFISHient is a cultivated seafood company starting with cultivated tilapia. ,Cultivated,"B2C,B2B",Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Other fish,,Africa/Middle East,Israel,,Petah Tikva,https://efishient.co.il/,2021," Dr. Kobi Biran, Jil Gamon"
EFK,,"Precision fermentation,Fermentation-derived",,Contract manufacturing/processing,Diversified,,,,,United States and Canada,United States,,,www.ekflifesciences.com,1990,
Egg'n'Up ,"Egg'n'Up develops 100% egg replacement, 100% clean-label solutions for the food industry, offering a range of functional alternatives to real eggs.",Plant-based,B2B,Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,Eggs,,,Africa/Middle East,Israel,,Rehovot,https://www.eggnup.com/,2021,Ido Braslavsky
EggField,"Switzerland-based company that produces plant-based alternatives to both egg whites and whole egg, focusing on mimicking the functionality of egg proteins above all else",Plant-based,B2C,Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,Eggs,,Chickpea,Europe,Switzerland,,Zurich,https://www.eggfield.com,2020,Silvan Leibacher and David Ebneter
Eggless,Produces eggless mayos made from soy and pea varieties are available. ,Plant-based,B2C,Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other,,"Soy,Pea",Latin America,Chile,,Santiago,http://www.eggless.cl/,2011,Matias Muchnick
Eggmented Reality,"Eggmented Reality’s vegan fermented protein is highly soluble, tasteless, and transparent, making it easy to integrate into any food or drink. With robust stability and rich in essential amino acids, it’s the ideal choice for seamless, nutritious fortification.",Precision fermentation,B2C,Ingredients and inputs,Specialized (focused on alternative proteins),End product formulation and manufacturing,Eggs,,,Africa/Middle East,Israel,,Qiryat Shemona,https://eggmented.com/,2022,"Itamar Yadid, Itai Bloch, and Jon Rathauser"
Einut's ,Israel-based company making plant-based cheeses and butter.,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other dairy",,,Africa/Middle East,Israel,,Yavne,https://www.facebook.com/einuts/,2017,
EirGenix,,Fermentation-derived,,Contract manufacturing/processing,Diversified,,,,,Asia Pacific,Taiwan,,,www.eirgenix.com,2013,
